rank	path	pagerank	in_links	title
220	blog/restaurant-partnership-marketing.html	0.000636	1	Restaurant Partnership Marketing: Cross-Promote with Local Businesses | LoopWorker
221	blog/restaurant-photography-on-budget.html	0.000636	1	Restaurant Photography on a Budget: Pro Results Without Pro Prices | LoopWorker
222	blog/restaurant-photography-shot-list.html	0.000636	1	Restaurant Photography Shot List: 25 Photos Every Restaurant Needs | LoopWorker
223	blog/restaurant-social-media-mistakes.html	0.000636	1	Restaurant Social Media Mistakes: 15 Things Killing Your Engagement | LoopWorker
224	blog/restaurant-staff-as-content-creators.html	0.000636	1	Turn Your Restaurant Staff Into Content Creators (Without the Cringe) | LoopWorker
225	blog/restaurant-website-essentials.html	0.000636	1	Restaurant Website Essentials: What to Include (And What to Skip) | LoopWorker
226	blog/salon-instagram-strategy.html	0.000636	0	Instagram Strategy for Salons: How to Turn Followers into Bookings | LoopWorker
227	blog/social-media-analytics-guide.html	0.000636	1	Social Media Analytics for Small Business: What to Track (And What to Ignore) | LoopWorker
228	blog/sushi-restaurant-marketing.html	0.000636	1	Sushi Restaurant Marketing: Omakase Content, Chef Videos, and Minimalist Food Photography | LoopWorker
229	blog/tattoo-shop-marketing.html	0.000636	1	Tattoo Shop Marketing: Build a Waitlist Through Content | LoopWorker
230	blog/threads-marketing-guide.html	0.000636	1	Threads Marketing Guide: Algorithm, Content Strategy, and Growth Tactics for Small Business | LoopWorker
231	blog/tiktok-for-restaurants.html	0.000636	1	TikTok for Restaurants: How to Go Viral (And Actually Get Customers) | LoopWorker
232	blog/vegan-restaurant-marketing.html	0.000636	1	Vegan Restaurant Marketing: Plant-Based Photography, Values-Driven Content, and Community Building | LoopWorker
233	blog/video-content-ideas-small-business.html	0.000636	1	Video Content Ideas for Small Business: 25 Videos You Can Film Today | LoopWorker
234	blog/wedding-vendor-content-strategy.html	0.000636	1	Wedding Vendor Content Strategy: Get Booked Year-Round | LoopWorker
235	blog/yoga-studio-marketing.html	0.000636	1	Yoga Studio Marketing: Fill Your Classes Without Discounting | LoopWorker
236	blog/youtube-shorts-small-business.html	0.000636	1	YouTube Shorts for Small Business: Settings, Hashtags, Monetization, and the Long-Tail SEO Advantage | LoopWorker
